Date,Open,High,Low,Close,Adj Close,Volume
2019-11-25,135.570007,135.940002,134.869995,135.029999,131.457367,1161300
2019-11-26,134.830002,136.899994,134.699997,136.679993,133.063721,1827500
2019-11-27,137.080002,137.320007,136.130005,136.839996,133.219482,1057500
2019-11-29,136.830002,137.210007,136.470001,136.720001,133.102676,523300
2019-12-02,136.990005,137.259995,135.259995,135.259995,131.681290,1577300
2019-12-03,134.779999,135.100006,133.699997,134.619995,131.058228,1865200
2019-12-04,133.449997,135.490005,133.330002,135.169998,131.593674,1303000
2019-12-05,135.410004,135.410004,134.029999,134.309998,130.756424,1435000
2019-12-06,135.190002,136.149994,134.789993,135.720001,132.129135,1583700
2019-12-09,135.309998,135.630005,134.820007,135.449997,132.667831,987100
2019-12-10,135.449997,135.789993,135.149994,135.539993,132.755966,828600
2019-12-11,135.259995,135.639999,134.279999,134.630005,131.864670,1260100
2019-12-12,134.619995,136.220001,134.309998,135.610001,132.824524,1068900
2019-12-13,135.130005,136.210007,135.119995,135.660004,132.873520,985600
2019-12-16,136.070007,136.750000,135.679993,136.179993,133.382828,1312700
2019-12-17,136.279999,137.259995,136.199997,136.990005,134.176208,1083400
2019-12-18,137.169998,137.169998,134.940002,135.669998,132.883316,1582400
2019-12-19,135.399994,136.490005,135.100006,136.470001,133.666870,1741500
2019-12-20,137.149994,137.610001,136.039993,136.429993,133.627701,2676500
2019-12-23,136.800003,136.800003,135.580002,136.229996,133.431793,1003000
2019-12-24,136.449997,136.449997,135.550003,135.830002,133.040024,486200
2019-12-26,135.960007,136.309998,135.809998,136.289993,133.490570,927700
2019-12-27,136.479996,136.899994,135.970001,136.800003,133.990112,614400
2019-12-30,136.979996,136.979996,135.649994,136.490005,133.686462,799200
2019-12-31,136.309998,136.990005,136.130005,136.949997,134.137009,765100
2020-01-02,137.520004,137.740005,136.139999,137.509995,134.685516,1117300
2020-01-03,136.550003,137.369995,136.350006,137.020004,134.205582,927300
2020-01-06,136.149994,137.210007,135.639999,137.169998,134.352493,952800
2020-01-07,135.889999,136.630005,135.100006,135.160004,132.383804,1204600
2020-01-08,135.940002,137.699997,135.490005,136.610001,133.804001,1942800
2020-01-09,136.699997,137.910004,136.699997,137.619995,134.793259,1228600
2020-01-10,135.800003,136.470001,135.320007,135.509995,132.726578,1343200
2020-01-13,135.509995,136.300003,135.350006,136.259995,133.461197,1042500
2020-01-14,136.000000,137.559998,136.000000,136.649994,133.843170,1485300
2020-01-15,136.500000,137.979996,136.309998,137.570007,134.744278,905200
2020-01-16,138.000000,138.979996,137.820007,138.850006,135.998001,1249100
2020-01-17,139.000000,141.050003,138.839996,140.729996,137.839371,1534800
2020-01-21,140.770004,141.550003,140.380005,140.910004,138.015686,1604700
2020-01-22,141.289993,141.869995,140.490005,141.339996,138.436844,1656800
2020-01-23,136.289993,138.000000,133.479996,134.190002,131.433716,3636600
2020-01-24,133.729996,134.880005,133.610001,134.779999,132.011597,1755100
2020-01-27,134.350006,135.750000,133.559998,133.729996,130.983154,1519500
2020-01-28,134.490005,135.100006,134.339996,134.389999,131.629608,1297700
2020-01-29,134.500000,134.539993,132.949997,133.270004,130.532608,1270900
2020-01-30,132.600006,134.279999,132.110001,134.199997,131.443497,1409700
2020-01-31,133.660004,134.509995,131.429993,131.619995,128.916504,1844900
2020-02-03,132.509995,134.289993,132.279999,133.610001,130.865631,1494900
2020-02-04,134.410004,135.250000,132.479996,132.580002,129.856781,1541400
2020-02-05,133.860001,136.839996,133.860001,136.779999,133.970505,1404500
2020-02-06,137.279999,138.000000,136.479996,136.500000,133.696274,937600
2020-02-07,136.399994,136.880005,135.229996,136.009995,133.216324,900200
2020-02-10,136.009995,136.270004,135.139999,136.220001,133.422028,807700
2020-02-11,136.339996,137.509995,135.649994,137.380005,134.558197,1042000
2020-02-12,137.570007,137.690002,135.690002,135.710007,132.922501,824800
2020-02-13,135.910004,137.160004,135.229996,136.880005,134.068451,927200
2020-02-14,136.619995,138.160004,136.229996,137.759995,134.930374,981400
2020-02-18,137.479996,137.690002,135.759995,135.880005,133.089005,1206100
2020-02-19,136.000000,136.169998,134.190002,134.509995,131.747116,1272200
2020-02-20,133.979996,134.449997,132.600006,133.979996,131.228027,1629100
2020-02-21,134.259995,135.330002,133.240005,135.160004,132.383804,1469700
2020-02-24,133.520004,135.550003,133.320007,134.119995,131.365143,1828700
2020-02-25,134.110001,134.199997,130.729996,130.789993,128.103546,1949000
2020-02-26,131.279999,132.160004,128.559998,128.559998,125.919342,1715500
2020-02-27,127.349998,129.059998,124.040001,124.080002,121.531372,2689600
2020-02-28,121.720001,122.739998,117.379997,119.809998,117.349075,3756000
2020-03-02,119.809998,127.690002,119.330002,127.680000,125.057426,3349900
2020-03-03,127.580002,128.600006,124.370003,125.309998,122.736107,2694500
2020-03-04,126.260002,131.550003,125.320000,131.529999,128.828354,2423100
2020-03-05,127.650002,129.330002,126.809998,128.020004,125.390442,2445500
2020-03-06,124.209999,125.790001,122.459999,124.839996,122.275757,2550400
2020-03-09,116.120003,118.480003,113.300003,116.199997,114.565742,3658300
